name,population ,pcode,Weeks,cas,Cumulative_cases,Incidence,TA
Lilangi,7894,C017,13,1,1,13,0.01
Bongilima,5638,C021,13,0,0,0,0
Bafumba,18645,C024,13,0,0,0,0
Bokala,11529,C023,13,0,0,0,0
Lisafa,20432,C020,13,0,0,0,0
Isampoka (Elikia),19369,C025,13,0,0,0,0
Boboto,13817,C022,13,0,0,0,0
Ikau,8116,C003,13,0,0,0,0
Bolombo mengi,8535,C015,13,0,0,0,0
Waka,12380,C011,13,0,0,0,0
Nsongo Ilinga,10656,C019,13,0,0,0,0
Bokeka,12390,C012,13,0,0,0,0
Bokakata,10480,C026,13,0,0,0,0
Ekoto,6353,C002,13,0,0,0,0
Bokolongo,6866,C006,13,0,0,0,0
Bokele,7685,C010,13,0,0,0,0
Balangala,14589,C005,13,0,0,0,0
Ndeke,8332,C016,13,0,0,0,0
Ilodge(Ifomi),10468,C004,13,0,0,0,0
Nsongo nkoy,8266,C018,13,0,0,0,0
Boyela,12246,C014,13,0,0,0,0
Lofoma (pilote),6346,C008,13,0,0,0,0
Loanga,6137,C001,13,0,0,0,0
Bolimi toenga,7777,C013,13,0,0,0,0
Lifumba,10923,C009,13,0,0,0,0
Monzonzo,7350,C007,13,0,0,0,0
Lilangi,7894,C017,14,0,1,0,0.01
Bongilima,5638,C021,14,0,0,0,0
Bafumba,18645,C024,14,0,0,0,0
Bokala,11529,C023,14,0,0,0,0
Lisafa,20432,C020,14,0,0,0,0
Isampoka (Elikia),19369,C025,14,0,0,0,0
Boboto,13817,C022,14,0,0,0,0
Ikau,8116,C003,14,0,0,0,0
Bolombo mengi,8535,C015,14,0,0,0,0
Waka,12380,C011,14,0,0,0,0
Nsongo Ilinga,10656,C019,14,0,0,0,0
Bokeka,12390,C012,14,0,0,0,0
Bokakata,10480,C026,14,0,0,0,0
Ekoto,6353,C002,14,0,0,0,0
Bokolongo,6866,C006,14,0,0,0,0
Bokele,7685,C010,14,0,0,0,0
Balangala,14589,C005,14,0,0,0,0
Ndeke,8332,C016,14,0,0,0,0
Ilodge(Ifomi),10468,C004,14,0,0,0,0
Nsongo nkoy,8266,C018,14,0,0,0,0
Boyela,12246,C014,14,0,0,0,0
Lofoma (pilote),6346,C008,14,0,0,0,0
